ID,Title,Difficulty,Topics,Link,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions,pattern
35,Search Insert Position,Easy,"Array, Binary Search",https://leetcode.com/problems/search-insert-position/,49.45,FALSE,Algorithms,17787,846,"[{""input"": ""[1,3,5,6], target=5"", ""expected"": ""2""}, {""input"": ""[1], target=0"", ""expected"": ""0""}, {""input"": ""[1,3,5,7,9,11,13,15,17,19], target=15"", ""expected"": ""7""}, {""input"": ""[1,3,5,6], target=7"", ""expected"": ""4""}]","[{""title"": ""First Bad Version"", ""titleSlug"": ""first-bad-version"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Minimum Operations to Exceed Threshold Value I"", ""titleSlug"": ""minimum-operations-to-exceed-threshold-value-i"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""binary_search_standard""]"
234,Palindrome Linked List,Easy,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/palindrome-linked-list/,56.34,FALSE,Algorithms,17650,947,"[{""input"": ""[1,2,2,1]"", ""expected"": ""true""}, {""input"": ""[1]"", ""expected"": ""true""}, {""input"": ""[1,2,3,4,5,4,3,2,1]"", ""expected"": ""true""}, {""input"": ""[1,2,3,2,2]"", ""expected"": ""false""}]","[{""title"": ""Palindrome Number"", ""titleSlug"": ""palindrome-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Valid Palindrome"", ""titleSlug"": ""valid-palindrome"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Reverse Linked List"", ""titleSlug"": ""reverse-linked-list"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Maximum Twin Sum of a Linked List"", ""titleSlug"": ""maximum-twin-sum-of-a-linked-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""fast_slow_pointers"", ""linked_list_reversal"", ""two_pointers_opposite""]"
88,Merge Sorted Array,Easy,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array/,53.34,FALSE,Algorithms,17524,2442,"[{""input"": ""nums1=[1,2,3,0,0,0], m=3, nums2=[2,5,6], n=3"", ""expected"": ""[1,2,2,3,5,6]""}, {""input"": ""nums1=[0], m=0, nums2=[1], n=1"", ""expected"": ""[1]""}, {""input"": ""nums1=[1,3,5,7,9,0,0,0,0,0], m=5, nums2=[2,4,6,8,10], n=5"", ""expected"": ""[1,2,3,4,5,6,7,8,9,10]""}, {""input"": ""nums1=[2,2,2,0,0,0], m=3, nums2=[2,2,2], n=3"", ""expected"": ""[2,2,2,2,2,2]""}]","[{""title"": ""Merge Two Sorted Lists"", ""titleSlug"": ""merge-two-sorted-lists"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Squares of a Sorted Array"", ""titleSlug"": ""squares-of-a-sorted-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Interval List Intersections"", ""titleSlug"": ""interval-list-intersections"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Take K of Each Character From Left and Right"", ""titleSlug"": ""take-k-of-each-character-from-left-and-right"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""two_pointers_opposite""]"
26,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array/,60.88,FALSE,Algorithms,17377,20021,"[{""input"": ""[1,1,2]"", ""expected"": ""2""}, {""input"": ""[1]"", ""expected"": ""1""}, {""input"": ""[1,1,2,2,3,3,4,4,5]"", ""expected"": ""5""}, {""input"": ""[1,1,1,1,1,1]"", ""expected"": ""1""}]","[{""title"": ""Remove Element"", ""titleSlug"": ""remove-element"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Remove Duplicates from Sorted Array II"", ""titleSlug"": ""remove-duplicates-from-sorted-array-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Apply Operations to an Array"", ""titleSlug"": ""apply-operations-to-an-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Sum of Distances"", ""titleSlug"": ""sum-of-distances"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""two_pointers_same""]"
141,Linked List Cycle,Easy,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle/,52.96,FALSE,Algorithms,16787,1523,"[{""input"": ""head=[3,2,0,-4], pos=1"", ""expected"": ""true""}, {""input"": ""head=[1], pos=-1"", ""expected"": ""false""}, {""input"": ""head=[1,2,3,4,5,6,7,8,9,10], pos=0"", ""expected"": ""true""}, {""input"": ""head=[1,2], pos=-1"", ""expected"": ""false""}]","[{""title"": ""Linked List Cycle II"", ""titleSlug"": ""linked-list-cycle-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Happy Number"", ""titleSlug"": ""happy-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""fast_slow_pointers"", ""two_pointers_same""]"
13,Roman to Integer,Easy,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer/,65.25,FALSE,Algorithms,16361,1138,"[{""input"": ""\""MCMXCIV\"""", ""expected"": ""1994""}, {""input"": ""\""I\"""", ""expected"": ""1""}, {""input"": ""\""MMMCMXCIX\"""", ""expected"": ""3999""}, {""input"": ""\""IV\"""", ""expected"": ""4""}]","[{""title"": ""Integer to Roman"", ""titleSlug"": ""integer-to-roman"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""hash_map_lookup""]"
101,Symmetric Tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/symmetric-tree/,59.7,FALSE,Algorithms,16317,427,"[{""input"": ""[1,2,2,3,4,4,3]"", ""expected"": ""true""}, {""input"": ""[1]"", ""expected"": ""true""}, {""input"": ""symmetric complete binary tree with 7 levels: [1,2,2,3,3,3,3,4,4,4,4,4,4,4,4]"", ""expected"": ""true""}, {""input"": ""[1,2,2,None,3,None,3]"", ""expected"": ""false""}]",[],"[""bfs_level_order"", ""dfs_recursive""]"
160,Intersection of Two Linked Lists,Easy,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/intersection-of-two-linked-lists/,61.73,FALSE,Algorithms,15992,1459,"[{""input"": ""listA=[4,1,8,4,5], listB=[5,6,1,8,4,5], intersectVal=8"", ""expected"": ""node with val=8""}, {""input"": ""listA=[1,2,3], listB=[4,5,6], intersectVal=0"", ""expected"": ""null""}, {""input"": ""listA=[1,2,9999], listB=[3,4,5,9999], intersectVal=9999"", ""expected"": ""node with val=9999""}, {""input"": ""listA=[1], listB=[1], intersectVal=1"", ""expected"": ""node with val=1""}]","[{""title"": ""Minimum Index Sum of Two Lists"", ""titleSlug"": ""minimum-index-sum-of-two-lists"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""hash_map_lookup"", ""two_pointers_same""]"
543,Diameter of Binary Tree,Easy,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/diameter-of-binary-tree/,64.05,FALSE,Algorithms,15006,1186,"[{""input"": ""[1,2,3,4,5]"", ""expected"": ""3""}, {""input"": ""[1]"", ""expected"": ""0""}, {""input"": ""left-skewed chain of 500 nodes + right-skewed chain of 500 nodes joined at root"", ""expected"": ""999""}, {""input"": ""[1,2,None,3,None,None,None,4]"", ""expected"": ""3""}]","[{""title"": ""Diameter of N-Ary Tree"", ""titleSlug"": ""diameter-of-n-ary-tree"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Path With Different Adjacent Characters"", ""titleSlug"": ""longest-path-with-different-adjacent-characters"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]","[""dfs_recursive""]"
226,Invert Binary Tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/invert-binary-tree/,79.25,FALSE,Algorithms,14776,247,"[{""input"": ""[4,2,7,1,3,6,9]"", ""expected"": ""[4,7,2,9,6,3,1]""}, {""input"": ""[1]"", ""expected"": ""[1]""}, {""input"": ""[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"", ""expected"": ""[1,3,2,7,6,5,4,15,14,13,12,11,10,9,8]""}, {""input"": ""[2,1,3]"", ""expected"": ""[2,3,1]""}]","[{""title"": ""Reverse Odd Levels of Binary Tree"", ""titleSlug"": ""reverse-odd-levels-of-binary-tree"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""bfs_level_order"", ""dfs_recursive""]"
94,Binary Tree Inorder Traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-inorder-traversal/,78.95,FALSE,Algorithms,14359,858,"[{""input"": ""[1,None,2,None,None,3]"", ""expected"": ""[1,3,2]""}, {""input"": ""[]"", ""expected"": ""[]""}, {""input"": ""complete binary tree [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"", ""expected"": ""[8,4,9,2,10,5,11,1,12,6,13,3,14,7,15]""}, {""input"": ""[1]"", ""expected"": ""[1]""}]","[{""title"": ""Validate Binary Search Tree"", ""titleSlug"": ""validate-binary-search-tree"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Binary Tree Preorder Traversal"", ""titleSlug"": ""binary-tree-preorder-traversal"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Binary Tree Postorder Traversal"", ""titleSlug"": ""binary-tree-postorder-traversal"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Binary Search Tree Iterator"", ""titleSlug"": ""binary-search-tree-iterator"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Kth Smallest Element in a BST"", ""titleSlug"": ""kth-smallest-element-in-a-bst"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Closest Binary Search Tree Value II"", ""titleSlug"": ""closest-binary-search-tree-value-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Inorder Successor in BST"", ""titleSlug"": ""inorder-successor-in-bst"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Convert Binary Search Tree to Sorted Doubly Linked List"", ""titleSlug"": ""convert-binary-search-tree-to-sorted-doubly-linked-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Distance Between BST Nodes"", ""titleSlug"": ""minimum-distance-between-bst-nodes"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""dfs_iterative"", ""dfs_recursive""]"
